Latitude,Longitude,Total Ports,EV Connector Type
40.691652,-73.985733,0,J1772COMBO
40.691652,-73.985733,0,Simultaneous DCFC Ports
40.691652,-73.985733,3,TESLA
40.691871,-73.998307,0,CHADEMO
40.691871,-73.998307,1,J1772
40.691871,-73.998307,0,J1772COMBO
40.691871,-73.998307,0,Simultaneous DCFC Ports
40.691871,-73.998307,2,TESLA
40.692372,-73.969893,0,CHADEMO
40.692372,-73.969893,0,J1772
40.692372,-73.969893,0,J1772COMBO
40.692372,-73.969893,0,Simultaneous DCFC Ports
40.692372,-73.969893,2,TESLA
40.692645,-73.985451,0,CHADEMO
40.692645,-73.985451,1,J1772
40.692645,-73.985451,0,J1772COMBO
40.692645,-73.985451,0,Simultaneous DCFC Ports
40.692645,-73.985451,2,TESLA
40.692919,-73.987193,0,CHADEMO
40.692919,-73.987193,1,J1772
40.692919,-73.987193,0,J1772COMBO
40.692919,-73.987193,0,Simultaneous DCFC Ports
40.692919,-73.987193,2,TESLA
40.693194,-73.982701,0,CHADEMO
40.693194,-73.982701,0,J1772
40.693194,-73.982701,0,J1772COMBO
40.693194,-73.982701,0,Simultaneous DCFC Ports
40.693194,-73.982701,4,TESLA
40.693208,-73.981326,0,CHADEMO
40.693208,-73.981326,1,J1772
40.693208,-73.981326,0,J1772COMBO
40.693208,-73.981326,0,Simultaneous DCFC Ports
40.693208,-73.981326,2,TESLA
40.693216,-73.986716,0,CHADEMO
40.693216,-73.986716,1,J1772
40.693216,-73.986716,0,J1772COMBO
40.693216,-73.986716,0,Simultaneous DCFC Ports
40.693216,-73.986716,2,TESLA
40.693317,-73.9871,0,CHADEMO
40.693317,-73.9871,1,J1772
40.693317,-73.9871,0,J1772COMBO
40.693317,-73.9871,0,Simultaneous DCFC Ports
40.693317,-73.9871,2,TESLA
40.693949,-74.00025,0,CHADEMO
40.693949,-74.00025,1,J1772
40.693949,-74.00025,0,J1772COMBO
40.693949,-74.00025,0,Simultaneous DCFC Ports
40.693949,-74.00025,2,TESLA
40.69500926,-73.6833408,0,CHADEMO
40.69500926,-73.6833408,2,J1772
40.69500926,-73.6833408,0,J1772COMBO
40.69500926,-73.6833408,0,Simultaneous DCFC Ports
40.69500926,-73.6833408,0,TESLA
40.695013,-73.982843,0,CHADEMO
40.695013,-73.982843,1,J1772
40.695013,-73.982843,0,J1772COMBO
40.695013,-73.982843,0,Simultaneous DCFC Ports
40.695013,-73.982843,2,TESLA
40.69504,-73.98394,0,CHADEMO
40.69504,-73.98394,0,J1772
40.69504,-73.98394,0,J1772COMBO
40.69504,-73.98394,0,Simultaneous DCFC Ports
40.69504,-73.98394,4,TESLA
40.695115,-73.990993,0,CHADEMO
40.695115,-73.990993,1,J1772
40.695115,-73.990993,0,J1772COMBO
40.695115,-73.990993,0,Simultaneous DCFC Ports
40.695115,-73.990993,2,TESLA
40.696871,-73.983002,0,CHADEMO
40.696871,-73.983002,1,J1772
40.696871,-73.983002,0,J1772COMBO
40.696871,-73.983002,0,Simultaneous DCFC Ports
40.696871,-73.983002,2,TESLA
40.696909,-73.816114,0,CHADEMO
40.696909,-73.816114,2,J1772
40.696909,-73.816114,0,J1772COMBO
40.696909,-73.816114,0,Simultaneous DCFC Ports
40.696909,-73.816114,0,TESLA
40.698235,-73.975114,0,CHADEMO
40.698235,-73.975114,8,J1772
40.698235,-73.975114,0,J1772COMBO
